Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
73239300	Table, kitchen or household articles of  st inless steel	India	Kg	93345	41363	12031
73239300	Table, kitchen or household articles of  st inless steel	Iraq	Kg	1	0	0
73239300	Table, kitchen or household articles of  st inless steel	Japan	Kg	40	8	3
73239300	Table, kitchen or household articles of  st inless steel	Kuwait	Kg	2236	274	98
73239300	Table, kitchen or household articles of  st inless steel	Malaysia	Kg	305	28	10
73239300	Table, kitchen or household articles of  st inless steel	Oman	Kg	790	45	16
73239300	Table, kitchen or household articles of  st inless steel	Qatar	Kg	8310	615	219
73239300	Table, kitchen or household articles of  st inless steel	Saudi Arabia	Kg	1149	92	33
73239300	Table, kitchen or household articles of  st inless steel	Singapore	Kg	6758	39	14
73239300	Table, kitchen or household articles of  st inless steel	Thailand	Kg	5862	7196	2562
73239300	Table, kitchen or household articles of  st inless steel	United Arab Emirates	Kg	1710	175	62
73239300	Table, kitchen or household articles of  st inless steel	United Kingdom	Kg	138	6	2
73239300	Table, kitchen or household articles of  st inless steel	United States	Kg	941	3603	0
73239400	Table, kitchen or household articles of  ir n or steel, enamelled	China	Kg	5459	2115	776
73239400	Table, kitchen or household articles of  ir n or steel, enamelled	India	Kg	7645	1896	709
73239400	Table, kitchen or household articles of  ir n or steel, enamelled	Singapore	Kg	65	28	10
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Bahrain	Kg	17	4	1
73239900	Table, kitchen or household articles of  ir n or steel, nes.	China	Kg	2694	486	123
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Hong Kong	Kg	1	2	1
73239900	Table, kitchen or household articles of  ir n or steel, nes.	India	Kg	4331	1137	274
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Israel	Kg	78	38	9
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Japan	Kg	20	14	4
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Kuwait	Kg	291	70	17
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Oman	Kg	51	5	1
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Qatar	Kg	861	122	30
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Saudi Arabia	Kg	136	34	8
73239900	Table, kitchen or household articles of  ir n or steel, nes.	Taiwan, Province of China	Kg	100	85	21
73239900	Table, kitchen or household articles of  ir n or steel, nes.	United Arab Emirates	Kg	1595	170	41
73239900	Table, kitchen or household articles of  ir n or steel, nes.	United Kingdom	Kg	96	7	2
73239900	Table, kitchen or household articles of  ir n or steel, nes.	United States	Kg	2	3	1
73241000	Sinks and wash basins, of stainless steel   .	China	PCS	4678	4801	1951
73241000	Sinks and wash basins, of stainless steel   .	India	PCS	5709	7281	2242
73242100	Baths of cast iron   .	China	PCS	4909	416	152
73242100	Baths of cast iron   .	India	PCS	2	9	3
73242900	Baths of iron (excl cast) or steel   .	China	PCS	41787	1997	843
73242900	Baths of iron (excl cast) or steel   .	France	PCS	2	217	79
73242900	Baths of iron (excl cast) or steel   .	Germany	PCS	10	39	14
73242900	Baths of iron (excl cast) or steel   .	India	PCS	115186	10528	3795
73242900	Baths of iron (excl cast) or steel   .	Thailand	PCS	600	1108	404
73249010	Sanitary ware and parts of sanitary ware o   iron or steel	China	PCS	39071	4605	1873
73249010	Sanitary ware and parts of sanitary ware o   iron or steel	India	PCS	7825	416	154
73249090	Sanitary ware and parts of sanitary ware o   iron or steel	China	PCS	25120	1718	669
73249090	Sanitary ware and parts of sanitary ware o   iron or steel	India	PCS	105577	38665	14095
73251000	Articles of non-malleable cast iron, nes  .	China	Kg	1	1	0
73251000	Articles of non-malleable cast iron, nes  .	India	Kg	635	979	293
73259100	Grinding balls and similar articles for mi  ls of iron or steel.	India	Kg	10018	1273	371
73259900	Cast articles of iron or steel, nes	China	Kg	2056	675	202
73259900	Cast articles of iron or steel, nes	India	Kg	25552	4591	1175
73259900	Cast articles of iron or steel, nes	United Arab Emirates	Kg	5	9	3
73261100	Grinding balls for mills, forged or sta mpe , of iron or steel	India	Kg	650	501	107
73261900	Forged or stamped articles of iron or stee  , nes	China	Kg	10800	1322	396
73261900	Forged or stamped articles of iron or stee  , nes	India	Kg	7143	1260	404
73261900	Forged or stamped articles of iron or stee  , nes	Korea, Republic of	Kg	177	274	82
73261900	Forged or stamped articles of iron or stee  , nes	Taiwan, Province of China	Kg	5439	4419	1324
73262000	Articles of iron or steel wire, nes	China	Kg	5819	827	248
73262000	Articles of iron or steel wire, nes	Germany	Kg	0	24	7
73262000	Articles of iron or steel wire, nes	India	Kg	20070	2971	773
73262000	Articles of iron or steel wire, nes	Israel	Kg	0	0	0
73262000	Articles of iron or steel wire, nes	Italy	Kg	0	13	4
73262000	Articles of iron or steel wire, nes	Japan	Kg	60	21	6
73262000	Articles of iron or steel wire, nes	Taiwan, Province of China	Kg	92	27	8
73262000	Articles of iron or steel wire, nes	United Arab Emirates	Kg	4	4	1
73269000	Articles of iron or steel, nes   .	Austria	Kg	30	111	0
73269000	Articles of iron or steel, nes   .	Belgium	Kg	1	8	2
73269000	Articles of iron or steel, nes   .	Bhutan	Kg	0	7	2
73269000	Articles of iron or steel, nes   .	Bulgaria	Kg	3	25	7
73269000	Articles of iron or steel, nes   .	Canada	Kg	0	1	0
73269000	Articles of iron or steel, nes   .	China	Kg	115178	27811	4907
73269000	Articles of iron or steel, nes   .	Germany	Kg	18	340	102
73269000	Articles of iron or steel, nes   .	India	Kg	68741	21233	5554
73269000	Articles of iron or steel, nes   .	Italy	Kg	2	181	54
73269000	Articles of iron or steel, nes   .	Japan	Kg	9	103	31
73269000	Articles of iron or steel, nes   .	Korea, Republic of	Kg	209	423	127
73269000	Articles of iron or steel, nes   .	Poland	Kg	27	183	49
73269000	Articles of iron or steel, nes   .	Sweden	Kg	1	221	66
73269000	Articles of iron or steel, nes   .	Switzerland	Kg	7	47	14
73269000	Articles of iron or steel, nes   .	Taiwan, Province of China	Kg	13	279	83
73269000	Articles of iron or steel, nes   .	Thailand	Kg	30	66	20
73269000	Articles of iron or steel, nes   .	Turkey	Kg	10	219	66
73269000	Articles of iron or steel, nes   .	United Arab Emirates	Kg	104	19	2
73269000	Articles of iron or steel, nes   .	United Kingdom	Kg	21	73	22
73269000	Articles of iron or steel, nes   .	United States	Kg	62	610	183
74020000	Unrefined copper; copper anodes for electr  lytic refining	India	Kg	10	5	1
74032100	Brass, unwrought  .	India	Kg	9935	7062	1297
74032900	Copper (excl master alloys or heading 74 05  nes, unwrought.	India	Kg	669	962	179
74040000	Copper waste and scrap	India	Kg	17574	17299	2490
74061000	Copper powders of non-lamellar structure  .	India	Kg	3	6	1
74071000	Bars, rods and profiles of refined copper	India	Kg	2060	2361	438
74072100	Bars,rods and profiles of brass	India	Kg	1659	1503	280
74072900	Bars, rods and profiles of copper alloys,   es	China	Kg	300	100	19
74072900	Bars, rods and profiles of copper alloys,   es	India	Kg	368	530	99
74081100	Wire of refined copper, maximum cross-sect  onal dimension >6mm.	India	Kg	10144	11227	2062
74081100	Wire of refined copper, maximum cross-sect  onal dimension >6mm.	United Arab Emirates	Kg	335181	413588	77135
74081900	Wire of refined copper, maximum cross-sect  onal dimension =<6mm	China	Kg	204	89	17
74081900	Wire of refined copper, maximum cross-sect  onal dimension =<6mm	India	Kg	144361	150573	27686
74081900	Wire of refined copper, maximum cross-sect  onal dimension =<6mm	United Arab Emirates	Kg	27000	33975	6336
74082100	Wire of brass  .	India	Kg	3690	1379	257
74082900	Wire of copper alloy, nes	China	Kg	150	65	12
74082900	Wire of copper alloy, nes	India	Kg	1773	741	138
74091100	Plates, sheets and strip, of refined coppe  , in coils, >015mm thick.	India	Kg	12263	13210	2442
74091900	Plates, sheets and strip, of refined coppe  , uncoiled, >015mm thick.	India	Kg	28126	24021	2989
74092100	Plates, sheets and strip, of brass, in coi  s, >015mm thick.	Bangladesh	Kg	30	30	6
74092100	Plates, sheets and strip, of brass, in coi  s, >015mm thick.	China	Kg	1	0	0
74092100	Plates, sheets and strip, of brass, in coi  s, >015mm thick.	India	Kg	60	90	17
74092900	Plates, sheets and strip, of brass, uncoil  d, >015mm thick.	India	Kg	134	121	23
74093900	Plates, sheets and strip, of bronze, uncoi  ed, >015mm thick	India	Kg	1	1	0
74094000	Plates, sheets and strip, of cupro-nickel/  ickel silver, >015mm thick	India	Kg	500	54	10
74099000	Plates, sheets and strip, of other copper   lloys, nes, >015mm thick.	India	Kg	46	67	13
74111000	Tubes and pipes of refined copper	India	Kg	8280	12028	2530
74112100	Tubes and pipes of copper-zinc base alloys  (brass).	India	Kg	788	925	225
74112900	Tubes and pipes of copper alloys, nes	India	Kg	10	23	6
74121000	Tube or pipe fittings of refined copper	China	Kg	4	1	0
74121000	Tube or pipe fittings of refined copper	India	Kg	1327	2228	629
74122000	Tube or pipe fittings of copper alloys	China	Kg	39	294	88
74122000	Tube or pipe fittings of copper alloys	Germany	Kg	4	20	6
74122000	Tube or pipe fittings of copper alloys	India	Kg	10509	11631	2541
74122000	Tube or pipe fittings of copper alloys	Qatar	Kg	5	3	1
74122000	Tube or pipe fittings of copper alloys	Spain	Kg	1	10	3
74130000	Stranded wire, cables, plaited bands & the  like of copper, not electrically insu	India	Kg	300	29	9
74152100	Washers of copper, not threaded (including  spring washers).	China	Kg	12	1	0
74152100	Washers of copper, not threaded (including  spring washers).	India	Kg	23	23	7
74152900	Non-threaded articles such as rivets, cott  rs, cotter-pins of copper	India	Kg	10	9	3
74153300	Screws; bolts and nuts of copper  .	China	Kg	136	351	102
74153300	Screws; bolts and nuts of copper  .	India	Kg	65	81	24
74153300	Screws; bolts and nuts of copper  .	Italy	Kg	0	1	0
74153900	Threaded articles of copper, nes  .	India	Kg	155	351	105
74181000	Table, kitchen or other household articles  nd parts thereof;pot scourers and sco	India	Kg	36907	28912	8913
74182000	Sanitary ware and parts thereof of copper	China	Kg	12	43	15
74182000	Sanitary ware and parts thereof of copper	India	Kg	1334	2119	587
74182000	Sanitary ware and parts thereof of copper	Qatar	Kg	13	11	4
74198000	Other	China	Kg	14	14	4
74198000	Other	India	Kg	2783	2137	639
75021000	Unwrought nickel, not alloyed	India	Kg	157	707	172
75022000	Unwrought nickel alloys	China	Kg	9	16	4
75062000	Plates, sheets, strip and foil of nickel a  loys	China	Kg	1	3	1
75071200	Tubes and pipes of nickel alloys  .	India	Kg	20	133	40
76011000	Unwrought aluminium, not alloyed  .	India	Kg	515409	187799	24457
76012000	Unwrought aluminium, alloyed  .	India	Kg	7000	2728	373
76012000	Unwrought aluminium, alloyed  .	Qatar	Kg	1	2	0
76032000	Powders of lamellar structure; flakes of a  uminium.	India	Kg	50	40	8
76041010	Aluminium Profiles not alloyed	China	Kg	482	345	103
76041010	Aluminium Profiles not alloyed	India	Kg	36369	14617	2837
76041090	Other bars, rods of aluminium, not alloyed	China	Kg	1	3	1
76041090	Other bars, rods of aluminium, not alloyed	India	Kg	2004	957	179
76042100	Hollow profiles of aluminium alloys	China	Kg	156816	64072	27619
76042100	Hollow profiles of aluminium alloys	India	Kg	12138	5745	2152
76042900	Bars, rods and profiles of aluminium alloy  , nes	China	Kg	24348	9903	4247
76042900	Bars, rods and profiles of aluminium alloy  , nes	India	Kg	42589	20549	7679
76042900	Bars, rods and profiles of aluminium alloy  , nes	Turkey	Kg	2	42	18
76051100	Wire of aluminium, not alloyed, maximum cr  ss-sectional dimension >7mm	India	Kg	824725	300921	55274
76051900	Wire of aluminium, not alloyed, maximum cr  ss-sectional dimension =<7mm.	India	Kg	1802	644	120
76052100	Wire of aluminium alloys, maximum cross-se  tional dimension >7mm	India	Kg	50371	19049	3500
76052900	Wire of aluminium alloys, maximum cross-se  tional dimension =<7mm	India	Kg	287	859	11
76061200	Rectangular (incl square) plates, sheet &   trip of aluminium alloys, >02mm thic.	China	Kg	24021	5475	1006
76061200	Rectangular (incl square) plates, sheet &   trip of aluminium alloys, >02mm thic.	India	Kg	84445	37631	7010
76069100	Plates, sheet & strip (excl rectangula r) o  aluminium, not alloyed, >02mm th	China	Kg	1	0	0
76069100	Plates, sheet & strip (excl rectangula r) o  aluminium, not alloyed, >02mm th	India	Kg	37224	18529	3416
76069200	Plates, sheet & strip (excl rectangula r) o  aluminium alloys, >02mm thick	India	Kg	1385	752	140
76071100	Aluminium foil, =<02mm thick, not backed,   olled but not further worked.	China	Kg	1	0	0
76071100	Aluminium foil, =<02mm thick, not backed,   olled but not further worked.	India	Kg	183	245	73
76071900	Aluminium foil, =<02mm thick, not backed  ( xcl rolled).	China	Kg	66890	28351	8500
76071900	Aluminium foil, =<02mm thick, not backed  ( xcl rolled).	India	Kg	61542	39725	5294
76072000	Aluminium foil, =<02mm thick, backed with   aper, plastics	India	Kg	13374	11194	199
76072000	Aluminium foil, =<02mm thick, backed with   aper, plastics	Israel	Kg	1	0	0
76072000	Aluminium foil, =<02mm thick, backed with   aper, plastics	Malaysia	Kg	13447	8373	2508
76072000	Aluminium foil, =<02mm thick, backed with   aper, plastics	United States	Kg	8	24	7
76081000	Tubes and pipes of aluminium, not alloyed	China	Kg	1	5	1
76081000	Tubes and pipes of aluminium, not alloyed	India	Kg	3362	1638	490
76082000	Tubes and pipes of aluminium alloys	China	Kg	11	142	43
76082000	Tubes and pipes of aluminium alloys	India	Kg	4949	2203	582
76090000	Aluminium tube or pipe fittings (ex coupl i gs, elbows, sleeves)	China	Kg	160	70	20
76090000	Aluminium tube or pipe fittings (ex coupl i gs, elbows, sleeves)	India	Kg	75	54	16
76090000	Aluminium tube or pipe fittings (ex coupl i gs, elbows, sleeves)	Italy	Kg	40	437	0
76101000	Doors, windows and their frames and thresh  lds for door, of aluminium	China	Kg	240	625	187
76101000	Doors, windows and their frames and thresh  lds for door, of aluminium	India	Kg	10273	10776	2739
76101000	Doors, windows and their frames and thresh  lds for door, of aluminium	Thailand	Kg	17809	14992	4491
76109000	Aluminium structure and parts of structure  , nes	China	Kg	25074	14006	4211
76109000	Aluminium structure and parts of structure  , nes	India	Kg	6812	6298	1866
76109000	Aluminium structure and parts of structure  , nes	Thailand	Kg	228	252	76
76121000	Collapsible tubular containers of aluminiu  , (excl for gas) <300 l of capicity	India	PCS	3285490	7052	1479
76129000	Aluminium casks, drums, etc, nes (excl fo r gas), <300 l	Austria	PCS	1	146	0
76129000	Aluminium casks, drums, etc, nes (excl fo r gas), <300 l	China	PCS	26285	1187	359
76129000	Aluminium casks, drums, etc, nes (excl fo r gas), <300 l	India	PCS	4432714	62771	14160
76129000	Aluminium casks, drums, etc, nes (excl fo r gas), <300 l	Not_Specified	PCS	1	0	0
76129000	Aluminium casks, drums, etc, nes (excl fo r gas), <300 l	Viet Nam	PCS	1306800	26118	7823
76130020	Nitrogen Container	India	PCS	22	375	112
76130090	Other	India	PCS	2	4	1
76149000	Stranded wire, cables, plated bands, of  al minium alloys, not electrically ins	India	Kg	65	20	6
76151000	Table, kitchen or other household articles  nd parts thereof;pot scourers and sco	China	PCS	9494	641	252
76151000	Table, kitchen or other household articles  nd parts thereof;pot scourers and sco	India	PCS	1275218	46219	11640
76151000	Table, kitchen or other household articles  nd parts thereof;pot scourers and sco	Thailand	PCS	59048	11970	4271
76151000	Table, kitchen or other household articles  nd parts thereof;pot scourers and sco	United Arab Emirates	PCS	2	1	1
76152000	Sanitary ware and parts thereof of alumini  m	India	Kg	109	39	15
76161000	Nails, tacks, staples, screws, bolts, nuts   rivits, cotters, washer of alumini	China	Kg	12462	4471	1331
76161000	Nails, tacks, staples, screws, bolts, nuts   rivits, cotters, washer of alumini	India	Kg	409	398	119
76169100	Cloth, grill, netting and fencing, of alum  nium wire	India	Kg	9801	4459	888
76169900	Articles of aluminium, nes   .	Austria	Kg	10	17	0
76169900	Articles of aluminium, nes   .	Bulgaria	Kg	13	19	6
76169900	Articles of aluminium, nes   .	China	Kg	6744	2548	754
76169900	Articles of aluminium, nes   .	Germany	Kg	0	20	6
76169900	Articles of aluminium, nes   .	India	Kg	7118	4591	1363
76169900	Articles of aluminium, nes   .	Poland	Kg	19294	116339	34844
76169900	Articles of aluminium, nes   .	Qatar	Kg	8	2	1
78011000	Refined lead, unwrought	India	Kg	4996	1312	191
78019100	Unwrought lead, containing antimony as the  principale other element.	India	Kg	29008	10395	1663
78019900	Unwrought lead (excl refined and containi n  antimony)	India	Kg	3386	475	89
78060000	Other articles of lead, nes	India	Kg	2856	373	112
79011100	Zinc, not alloyed, >=9999% pure	India	Kg	542186	233134	35289
79011200	Zinc, not alloyed, <9999% pure	India	Kg	5016	2310	431
79012000	Zinc alloys	India	Kg	3016	1198	223
79039000	Powders and flakes of zinc	India	Kg	9	22	4
79040000	Zinc bars, rods, profiles and wire	India	Kg	150	15	3
79070000	Articles of zinc, nes	China	Kg	187	686	205
79070000	Articles of zinc, nes	India	Kg	1417	2319	510
80011000	Tin, not alloyed, unwrought	Indonesia	Kg	4995	22296	5418
80011000	Tin, not alloyed, unwrought	Malaysia	Kg	10010	43689	10617
80012000	Tin alloys, unwrought	India	Kg	199	850	207
80030000	Tin bars, rods, profiles and wire	India	Kg	325	31	9
80070010	Empty tin container	China	Kg	202	49	17
80070010	Empty tin container	India	Kg	33124	8105	2831
80070090	Other articles of tin, nes   .	India	Kg	81	12	4
81029600	Wire of molybdenum	China	Kg	9500	9085	2644
81029600	Wire of molybdenum	India	Kg	0	0	0
81049000	Articles of magnesium, nes	India	Kg	5	24	7
81052000	Cobalt mattes & other intermediate product   of cobalt matallurgy;unwrought cobal	India	Kg	22	12	4
82011010	Spades and shovels; hand tools, used in ag  iculture, horticulture or forestry	China	PCS	4736	2263	23
82011010	Spades and shovels; hand tools, used in ag  iculture, horticulture or forestry	India	PCS	8382	2491	25
82011090	Spades and shovels; hand tools, used in ag  iculture, horticulture or forestry	China	PCS	77998	24903	1245
82011090	Spades and shovels; hand tools, used in ag  iculture, horticulture or forestry	India	PCS	660	29	2
82013000	Mattocks, picks, hoes and rakes; hand tool  , used in agriculture, horticulturea.	China	PCS	16053	5537	277
82013000	Mattocks, picks, hoes and rakes; hand tool  , used in agriculture, horticulturea.	India	PCS	5640	4578	217
82014000	Axes, bill hooks and similar hewing tools;  hand tools,used in agriculture,hortic	Australia	PCS	2	8	0
82014000	Axes, bill hooks and similar hewing tools;  hand tools,used in agriculture,hortic	China	PCS	2	0	0
82014000	Axes, bill hooks and similar hewing tools;  hand tools,used in agriculture,hortic	India	PCS	183	32	2
82014000	Axes, bill hooks and similar hewing tools;  hand tools,used in agriculture,hortic	United Arab Emirates	PCS	1	9	0
82015000	Secateurs and similar one-handed pruners a  d shears (incl poultry shears); hand	India	PCS	8860	1745	18
82016000	Hedge shears, two-handed pruning shears an   similar two-handed shears; hand tool	China	PCS	1248	236	12
82016000	Hedge shears, two-handed pruning shears an   similar two-handed shears; hand tool	India	PCS	125	25	1
82019090	Scythes timber wedges and other agricul tur l/forestry hand tools	China	PCS	515	242	12
82021000	Hand saws  .	China	PCS	2443	139	36
82021000	Hand saws  .	India	PCS	12798	632	121
82021000	Hand saws  .	Sweden	PCS	1	9	0
82022000	Band saw blades	China	PCS	1992	215	40
82022000	Band saw blades	India	PCS	902	324	60
82023100	Circular saw blades(incl slitting or slot t ng saw blades) with working part of s	China	PCS	42100	667	124
82023100	Circular saw blades(incl slitting or slot t ng saw blades) with working part of s	India	PCS	79	1495	279
82023900	Circular saw blades(inclslittingblades  but exclwith working part of steel);p	China	PCS	40100	5751	1068
82023900	Circular saw blades(inclslittingblades  but exclwith working part of steel);p	India	PCS	8600	914	168
82024000	Chain saw blades  .	China	PCS	35	2	0
82029100	Straight saw blades, for working metal	China	PCS	100	1	0
82029100	Straight saw blades, for working metal	India	PCS	1912	166	31
82029100	Straight saw blades, for working metal	Sweden	PCS	4	3	0
82029900	Saw blades, nes	China	PCS	7474	300	59
82029900	Saw blades, nes	India	PCS	2052	635	119
82031000	Files, raspsand similar tools	China	PCS	297	90	18
82031000	Files, raspsand similar tools	Czech Republic	PCS	1	13	0
82031000	Files, raspsand similar tools	Germany	PCS	1	4	0
82031000	Files, raspsand similar tools	India	PCS	172119	5349	981
82032000	Pliers, pincers, tweezers and similar tool	Austria	PCS	1	13	0
82032000	Pliers, pincers, tweezers and similar tool	China	PCS	9328	1028	193
82032000	Pliers, pincers, tweezers and similar tool	Germany	PCS	9	61	0
82032000	Pliers, pincers, tweezers and similar tool	Hong Kong	PCS	100	58	11
82032000	Pliers, pincers, tweezers and similar tool	India	PCS	9591	1417	261
82032000	Pliers, pincers, tweezers and similar tool	Taiwan, Province of China	PCS	20	12	2
82033000	Metal cutting shears and similar hand tool	China	PCS	2372	180	34
82033000	Metal cutting shears and similar hand tool	India	PCS	7658	189	45
82034000	Pipe-cutters, bolt croppers, perforating p  nches and similar tools	China	PCS	1042	177	45
82034000	Pipe-cutters, bolt croppers, perforating p  nches and similar tools	Germany	PCS	11	14	0
82034000	Pipe-cutters, bolt croppers, perforating p  nches and similar tools	Hong Kong	PCS	5	11	2
82034000	Pipe-cutters, bolt croppers, perforating p  nches and similar tools	India	PCS	2228	1194	220
82034000	Pipe-cutters, bolt croppers, perforating p  nches and similar tools	United States	PCS	100	40	8
82041100	Hand-operated spanners and wrenches, non-a  justable	Austria	PCS	1	39	0
82041100	Hand-operated spanners and wrenches, non-a  justable	China	PCS	8003	1000	184
82041100	Hand-operated spanners and wrenches, non-a  justable	Germany	PCS	66	867	0
82041100	Hand-operated spanners and wrenches, non-a  justable	India	PCS	67858	7041	1294
82041100	Hand-operated spanners and wrenches, non-a  justable	Italy	PCS	1	21	4
82041100	Hand-operated spanners and wrenches, non-a  justable	Taiwan, Province of China	PCS	34	40	2
82041200	Hand-operated spanners and wrenches, adjus  able	China	PCS	4	1	0
82041200	Hand-operated spanners and wrenches, adjus  able	Germany	PCS	3	24	0
82041200	Hand-operated spanners and wrenches, adjus  able	India	PCS	18217	4650	855
82042000	Interchangeable spanner sockets, with or w  thout handles	China	PCS	620	399	74
82042000	Interchangeable spanner sockets, with or w  thout handles	Czech Republic	PCS	1	7	0
82042000	Interchangeable spanner sockets, with or w  thout handles	India	PCS	14274	2055	378
82051000	Drilling, threading or tapping hand tools   .	Brazil	PCS	1	7	1
82051000	Drilling, threading or tapping hand tools   .	China	PCS	19172	15165	2829
82051000	Drilling, threading or tapping hand tools   .	Germany	PCS	2	9	0
82051000	Drilling, threading or tapping hand tools   .	India	PCS	341	889	163
82051000	Drilling, threading or tapping hand tools   .	Not_Specified	PCS	10	39	7
82051000	Drilling, threading or tapping hand tools   .	United States	PCS	50	147	27
82052000	Hammers and sledge hammers   .	China	PCS	2781	3051	559
82052000	Hammers and sledge hammers   .	India	PCS	19785	5021	923
82053000	Planes, chisels, gouges and similar cuttin   tools for working wood	China	PCS	1142	328	61
82053000	Planes, chisels, gouges and similar cuttin   tools for working wood	India	PCS	1874	407	75
82053000	Planes, chisels, gouges and similar cuttin   tools for working wood	Italy	PCS	70	68	13
82053000	Planes, chisels, gouges and similar cuttin   tools for working wood	United States	PCS	10	11	2
82054000	Screwdrivers   .	China	PCS	20179	878	184
82054000	Screwdrivers   .	Czech Republic	PCS	10	29	0
82054000	Screwdrivers   .	Germany	PCS	2	3	0
82054000	Screwdrivers   .	India	PCS	50526	3727	685
82054000	Screwdrivers   .	Viet Nam	PCS	2	5	0
82055100	Household hand tools  .	Bangladesh	PCS	2	3	0
82055100	Household hand tools  .	China	PCS	28370	570	113
82055100	Household hand tools  .	India	PCS	2647	104	19
82055100	Household hand tools  .	Kuwait	PCS	22	8	1
82055100	Household hand tools  .	Qatar	PCS	10	19	4
82055100	Household hand tools  .	Saudi Arabia	PCS	47	27	5
82055100	Household hand tools  .	United Arab Emirates	PCS	4	9	2
82055900	Hand tools, nes (incl graziers' diamonds) . .	Bahrain	PCS	6	4	1
82055900	Hand tools, nes (incl graziers' diamonds) . .	China	PCS	20084	2325	443
82055900	Hand tools, nes (incl graziers' diamonds) . .	Germany	PCS	12	46	0
82055900	Hand tools, nes (incl graziers' diamonds) . .	India	PCS	61623	3238	608
82055900	Hand tools, nes (incl graziers' diamonds) . .	Korea, Republic of	PCS	4	19	4
82055900	Hand tools, nes (incl graziers' diamonds) . .	Malaysia	PCS	4	3	1
82055900	Hand tools, nes (incl graziers' diamonds) . .	Oman	PCS	8	8	1
82055900	Hand tools, nes (incl graziers' diamonds) . .	Qatar	PCS	28	29	6
82055900	Hand tools, nes (incl graziers' diamonds) . .	Saudi Arabia	PCS	6	4	1
82055900	Hand tools, nes (incl graziers' diamonds) . .	Spain	PCS	1	16	3
82055900	Hand tools, nes (incl graziers' diamonds) . .	Sweden	PCS	1	5	0
82055900	Hand tools, nes (incl graziers' diamonds) . .	Taiwan, Province of China	PCS	26	30	2
82055900	Hand tools, nes (incl graziers' diamonds) . .	United Arab Emirates	PCS	1	2	0
82055900	Hand tools, nes (incl graziers' diamonds) . .	United States	PCS	1	1	0
82057000	Vices, clamps and the like	China	PCS	40171	73	14
82057000	Vices, clamps and the like	Germany	PCS	1	0	0
82057000	Vices, clamps and the like	India	PCS	1289	368	68
82059000	Other, including sets of articles of two or more subheadings of this heading.	India	PCS	2562	120	22
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	China	PCS	1032	698	130
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	Germany	PCS	1	258	48
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	India	PCS	1572	152	28
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	Netherlands	PCS	175	8	1
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	Qatar	PCS	6	26	5
82060000	Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale	United Arab Emirates	PCS	1	14	3
82071300	Rock drilling or earth boring tools, with   orking part of cermets	China	PCS	420	4747	885
82071300	Rock drilling or earth boring tools, with   orking part of cermets	India	PCS	349	1867	344
82071900	Rock drilling or earth boring tools (excl t ose with working part of cermets),inc	China	PCS	7035	14766	2754
82071900	Rock drilling or earth boring tools (excl t ose with working part of cermets),inc	Hong Kong	PCS	6	6	1
82071900	Rock drilling or earth boring tools (excl t ose with working part of cermets),inc	India	PCS	501	1707	319
82072000	Dies for drawing or extruding metal	China	PCS	9	311	58
82072000	Dies for drawing or extruding metal	India	PCS	1182	3062	570
82073000	Interchangeable tools for pressing, stampi  g or punching	China	PCS	2	6	1
82073000	Interchangeable tools for pressing, stampi  g or punching	India	PCS	475	1139	213
82074000	Interchangeable tools for tapping or threa  ing.	China	PCS	300	164	31
82074000	Interchangeable tools for tapping or threa  ing.	Germany	PCS	1	9	0
82074000	Interchangeable tools for tapping or threa  ing.	India	PCS	262	442	82
82074000	Interchangeable tools for tapping or threa  ing.	Japan	PCS	1	20	0
82075000	Interchangeable tools for drilling, other   han for rock drilling	China	PCS	22911	4710	876
82075000	Interchangeable tools for drilling, other   han for rock drilling	Germany	PCS	269	237	44
82075000	Interchangeable tools for drilling, other   han for rock drilling	India	PCS	19006	2133	394
82075000	Interchangeable tools for drilling, other   han for rock drilling	Italy	PCS	10	16	3
82075000	Interchangeable tools for drilling, other   han for rock drilling	Sweden	PCS	22	548	102
82075000	Interchangeable tools for drilling, other   han for rock drilling	Taiwan, Province of China	PCS	112	169	32
82076000	Interchangeable tools for boring or broach  ng	China	PCS	5	294	55
82076000	Interchangeable tools for boring or broach  ng	India	PCS	49	127	24
82077000	Interchangeable tools for milling	India	PCS	590	1105	204
82077000	Interchangeable tools for milling	Kuwait	PCS	12	13	2
82077000	Interchangeable tools for milling	Qatar	PCS	86	63	12
