HSCode,Description,Unit,Quantity,Imports_Value,Imports_Revenue
5080000,"Coral; shells of molluscs, crustaceans or  echinoderms and cuttlebone, unworked",Kg,19128,3526,658
5119100,Pieces of fish or dust and pieces of oysters,Kg,76600,1649,17
6012000,"Bulbs, tubers, rhizomes in growth or in  flower; chicory plants and roots",PCS,2856,1227,0
6029000,"Other live plants,nes",PCS,23280,3542,63
6031900,Other - Fresh cut flowers & buds  . .,Kg,66599,3667,1072
6039000,"Dried, dyed, bleached or otherwise prepare d cut flowers and buds.",Kg,72,8,1
6049000,Other flowers not fresh  .,Kg,250,34,2
7011000,Seed potatoes fresh or chilled,Kg,60,2,0
7019000,"Other potatoes, fresh or chilled",Kg,26614386,673197,95221
7020000,Tomatoes fresh or chilled,Kg,3397850,39070,6016
7031000,"Onions and shallots, fresh or chilled",Kg,14236297,514120,72826
7032000,"Garlic, fresh or chilled  .",Kg,704510,85035,25169
7061000,"Carrots and turnips, fresh or chilled",Kg,149250,2335,340
7069000,"Beetrootradishes and other similar edib le roots, fresh or chilled",Kg,20540,317,46
7081000,"Peas, fresh or chilled",Kg,660,11,1
7089000,"Leguminous vegetables, fresh or chilled, n es",Kg,234486,2719,380
7095100,"Mushrooms of the genus agaricus, fresh or  chilled",Kg,37206,11679,1637
7095900,Other mushrooms or truffles fresh or chill ed,Kg,5,1,0
7096000,"Fruits of genus capiscum or pimenta, fresh  or chilled",Kg,7049,151,21
7099300,"Pumpkins, squash and gourds (Cucurbita spp)",Kg,69130,761,107
7099900,Other fresh or chilled vegetables,Kg,658125,9595,1403
7101000,"Potatoes, frozen",Kg,980000,25268,3540
7102100,"Shelled or unshelled peas, frozen",Kg,47310,5744,804
7104000,"Sweet corn, frozen",Kg,4044,336,34
7109000,"Mixtures of vegetables, frozen",Kg,440,10,1
7114000,Cucumbers and gherkins provisionally prese  ved.,Kg,3,0,0
7122000,Dried onions,Kg,200912,11372,1631
7123100,Dried mushrooms of the genus Agaricus,Kg,474,176,50
7123900,Other dried mushrooms and truffles,Kg,1003,194,56
7129011,Dried Garlic not shelled or not split,Kg,56490,5119,1500
7129012,Dried Garlic shelled or split,Kg,45078,3941,1154
7129090,Other dried vegetable; mixtures of vegetables,Kg,47209,14884,4311
7131010,"Dried peas, shelled whether or not skinned  or split",Kg,60006,3124,890
7131090,"Dried peas, shelled whether or not skinned  or split",Kg,45,2,1
7132000,"Dried gram, shelled whether or not skinned or split.",Kg,3075025,254990,25501
7133100,"Dried beans, shelled whether or not skinne   or split",Kg,1842865,173360,17338
7133300,"Dried kidney beans, incl white pea beans,   helled whether or not skinned or spli",Kg,262000,23478,2348
7133400,Bambara beans (Vigna subterranea or Voandze a subterranea),Kg,37110,3743,374
7133500,Cow peas (Vigna unguiculata),Kg,3000,282,28
7133900,"Dried beans, shelled, whether or not skinned or split nes",Kg,87500,6378,574
7134010,"Dried Lentils,Whole",Kg,2732750,327836,32322
7134090,Others,Kg,1037700,115311,11062
7135000,"Dried broad beans and horse beans, shelled",Kg,10500,780,70
7136000,Pigeon peas (Cajanus cajan),Kg,1277721,130594,13060
7139010,"Other dried Leguminous Vegitables,Whole",Kg,166654,15754,1478
7139090,"Other dried Leguminous Vegitables,Whole",Kg,4315,312,31
8011100,"Coconuts, desiccated, fresh or dried  .",Kg,130522,31722,12712
8011900,"Coconuts, excluding desiccated, fresh or d ried",Kg,533168,22910,5741
8013100,"Cashew nuts, in shell,fresh or dried",Kg,27702,3060,1785
8013200,"Cashew nuts, without shell, fresh or dried",Kg,148465,123575,61069
8021100,"Almonds in shell, fresh or dried",Kg,2,1,1
8021200,"Almonds without shells, fresh or dried",Kg,56245,41755,17932
8023100,"Walnuts in shell, fresh or dried  .",Kg,91370,29795,12796
8023200,"Walnuts without shells, fresh or dried",Kg,0,1,0
8028000,Areca nuts .,Kg,1458480,322462,371538
8029900,Other,Kg,0,1,1
8039000,Banana .,Kg,5187871,78636,33903
8041010,Dates fresh,Kg,1,0,0
8042010,"Figs, (Anjir) fresh only",Kg,470,313,92
8043000,"Pineapples, fresh or dried",Kg,1247232,56403,10725
8044000,"Avocados, fresh or dried  .",Kg,39550,11528,2388
8045000,"Guavas, mangoes and mangosteens, fresh or  dried.",Kg,3537828,180569,34791
8051000,"Oranges, fresh or dried",Kg,129843,8755,1227
8055000,"Lemons ( Cirtus limon, Cirtus limonum) and  limes (Cirtus aurantifolia. Cirtus lat",Kg,817274,61020,8584
8059000,"Citrus fruit, fresh or dried, nes",Kg,75155,4218,592
8061000,Fresh grapes,Kg,9019,647,65
8062000,Dried grapes,Kg,17195,4039,1377
8071100,"Watermelons, fresh",Kg,1930609,52081,7299
8072000,"Papaws (papayas), fresh",Kg,915300,32774,4600
8081000,"Apples, fresh",Kg,9210899,698738,100274
8083000,Pears,Kg,241336,18473,2617
8091000,"Apricots, fresh",Kg,392,313,81
8092900,Other cherries .,Kg,1320,1275,191
8093000,"Peaches, including nectarines, fresh  .",Kg,350,291,44
8094000,"Plums and sloes, fresh",Kg,290,12,2
8104000,"Cranberries, bilberries and other fruiits  of the genus Vaccinium",Kg,9,1,0
8105000,"Kiwifruit, fresh  .",Kg,4115,1837,185
8109010,"Pomegranate, Fresh",Kg,972452,100201,14183
8109090,"Other fruit, fresh, nes",Kg,319188,16878,2415
8119000,"Other fruit and nuts, frozen, nes",Kg,6885,682,199
8129000,"Other fruit and nuts, provisionally preser ved, not for immediate consumption.",Kg,1,0,0
8131000,Dried apricots,Kg,960,399,171
8134000,"Other dried fruit, except heading 0801 to  0806 nes",Kg,452,201,86
8135000,Mixtures of dried fruit of this chapter or  nuts,Kg,19050,3094,1329
8140000,"Peel of citrus fruit or melons, fresh,froz en, dried or provisionally preserved",Kg,1531,417,125
9011100,"Coffee, not roasted, not decaffeinated",Kg,14108,5101,2041
9011200,"Decaffeinated coffee, not roasted",Kg,1,2,1
9012100,"Roasted coffee, not decaffeinated",Kg,118,110,64
9012200,"Roasted, decaffeinated coffee",Kg,5492,10539,6134
9019000,"Coffee husks and skins,coffee substitutes  containing coffee in any proportion",Kg,15,10,6
9021000,"Green tea,whether or not flavoured, in imm  diate packings of content <=3kg",Kg,278,655,372
9022000,"Green tea,whether or not flavoured, nes",Kg,500,597,239
9023000,"Black tea(fermented) & partly fermented,wh  ther or not flavoured,in packings of",Kg,1,0,0
9024000,"Black tea(fermented) and partly fermented,  hether or not flavoured,in packings o",Kg,13768,4191,2653
9041110,Dried pepper neither crushed nor ground,Kg,3100,560,306
9041210,Crushed or ground Pepper,Kg,885,1391,773
9041290,"Dried pepper, crushed or ground",Kg,70,182,99
9042100,"Dried, neither, crushed or ground piper & capsicum",Kg,483229,71948,16097
9042200,Crushed or ground piper & capsicum,Kg,124936,31361,7032
9061100,Cinnamon (Cunnamomum zeylanicum Blume) - N either crushed nor ground,Kg,24520,6252,2296
9061900,"Other - Cinnamon & cinnamon tree flowers,  neither crushed nor ground",Kg,25300,6405,2353
9062000,"Cinnamon and cinnamon-tree flowers, crushe d or ground",Kg,10756,4507,730
9071000,Cloves neither crushed nor ground .,Kg,13050,10642,1695
9081100,Nutmag neither crushed nor ground .,Kg,5840,2887,702
9081200,nutmag crushed or ground,Kg,7,17,4
9082100,Mace neither crushed nor ground,Kg,1105,633,154
9083120,Sukumel,Kg,30005,45824,11325
9092100,Seeds of coriander neither crushed nor grou d,Kg,288336,43059,8048
9092200,Seeds of coriander crushed or ground,Kg,12810,2098,392
9093100,Seeds of cumin neither crushed nor ground .,Kg,885313,227851,42358
9093200,Seeds of Cumin crushed or ground,Kg,4785,1661,310
9096100,"Seeds of anisa,badian,caraway or fennel;jun iper berries Neither crushed nor groun [KGM",Kg,54977,11639,2171
9101110,Fresh Ginger nither crushed nor ground,Kg,1500,271,38
9101190,Other Ginger crushed or ground (sutho),Kg,25766,5138,74
9101200,Other  Ginger crushed or ground,Kg,506,125,38
9102000,Saffron,Kg,31,2216,582
9103020,Turmeric (dust or Powder) .,Kg,9500,2549,395
9103090,Other turmeric .,Kg,104480,14172,2197
9109100,Spice mixtures,Kg,149692,83507,24651
9109910,Fenugreek(Methi) .,Kg,225075,21408,4021
9109990,Other spices nes .,Kg,35712,5221,1206
10029000,Other rye,Kg,30,1,0
10039000,Other barley,Kg,31480,1421,71
10051000,Maize seed,Kg,10,5,1
10059000,Maize (excl seed),Kg,29155350,1115364,55952
10061010,Seed of Paddy Rice,Kg,50,2,0
10061090,Others Paddy,Kg,6619701,195207,9775
10063010,"Semi-milled or wholly milled rice, whether  or not polished or glazed",Kg,4726476,368558,32228
10063090,"Semi-milled or wholly milled rice, whether  or not polished or glazed",Kg,32073661,1702571,199441
10064000,Broken rice,Kg,5010170,159528,18731
10079000,Other grain sorghum (Junelo),Kg,45,2,1
10081000,Buckwheat .,Kg,11900,809,61
10082100,Millet seed,Kg,153820,5041,378
10082900,Other  .,Kg,1357640,45375,3407
10089000,"Other cereal, nes",Kg,500,166,31
11010000,Wheat or meslin flour except maida,Kg,132065,5436,1396
11022000,Maize (corn) flour,Kg,5000,216,25
11029000,"Other cereal flour, nes",Kg,8103,346,37
11031110,Groats and meal of wheat  .,Kg,25000,1012,260
11031300,Groats and meal of maize (corn),Kg,104020,5300,1361
11031900,"Groats and meal of other cereals, nes",Kg,74500,3231,830
11041200,Rolled or flaked of oats grains,Kg,711,130,12
11042300,"Other worked grains of maize (corn), nes",Kg,30000,1767,159
11042900,"Other worked grains of other cereals, nes",Kg,1423,64,6
11043000,"Cereal germ, whole, rolled, flaked or ground",Kg,9000,420,38
11051000,"Potato flour, meal and powder",Kg,40,1,0
11052000,"Potato flakes, granules and pellets",Kg,5615,753,202
11061000,"Flour, meal and powder of the dried legumi  ous vegetables of 0713",Kg,16949,1731,777
11063000,"Flour, meal and powder of products of chap  er 8",Kg,22526,4330,1943
11071000,Malt not roasted .,Kg,1670050,154864,49124
11072000,Roasted malt,Kg,1500,240,78
11081200,Maize (corn) starch,Kg,812449,48628,8798
11081300,Potato starch .,Kg,2000,247,60
11081400,Manioc (cassava) starch,Kg,31070,2757,664
11081900,"Other starches, nes",Kg,30,1,0
11090000,Wheat gluten,Kg,110275,26990,5034
12019000,Other soyabean .,Kg,12246948,1230167,65384
12024100,Groundnut In shell,Kg,32594,2878,259
12024200,"Groundnut shelled, whether or not broken",Kg,452532,59322,5342
12040000,Linseed,Kg,24020,2030,493
12051000,Low erucic acid rape or colza seeds,Kg,6707765,903902,168581
12060000,Sunflower seeds,Kg,1111,158,37
12074000,Sesamum seeds  .,Kg,180165,19481,4515
12075000,Mustards seeds,Kg,548435,50319,10519
12077000,Melon seeds,Kg,4000,830,202
12081000,Soya bean flour and meal .,Kg,1500,208,39
12092900,"Other seeds of forage plants, of a kind us ed for sowing, nes",Kg,1,2,0
12093000,"Seeds of herbaceous plants, of a kind used  for sowing",Kg,4,2172,0
12099110,Seed of Cauliflower,Kg,1101,32788,328
12099120,Seed of Cabbage,Kg,425,8598,86
12099150,Seed of Tomato,Kg,25,491,6
12099190,Seed of other vegetables,Kg,49543,70553,754
12102000,"Hop cones, ground, powdered or in pellets; lupulin",Kg,8006,13226,3545
12112000,"Ginseng roots, of a kind used in perfumery   pharmacy etc",Kg,10000,2296,287
12119090,"Other plants or parts, of a kind used in p erfumery, pharmacy etc, nes",Kg,209917,40002,3944
12122900,Other seaweeds,Kg,1,1,0
12129300,Sugar cane,Kg,58050,906,104
12130000,Cereal straw and husks,Kg,80335,658,123
13012000,Natural gum arabic,Kg,4611,848,206
13019000,"Natural gums, resins, gum-resins,natural o  eoresesins and balsams (excl gum arab",Kg,31681,11744,2855
13021300,Hop saps and extracts,Kg,3352,28233,6861
13021900,"Other vegetable saps and extracts, nes",Kg,5393,9813,1329
13023100,Agar-agar  .,Kg,50,156,37
13023200,"Mucilages and thickeners of locust beans,   ean seeds and guar seeds.",Kg,5500,351,85
13023900,"Mucilages and thickeners, derived from veg  table products, nes.",Kg,13308,3667,891
14019000,"Vegetable materials for plaiting, (excl. b amboos and rattans)",Kg,394812,17732,464
14049010,Semi processed catechu of acacia (liquid ka tha),Kg,18850,2263,57
14049030,Bidi wraper leaves (tendu),Kg,19887,1303,431
14049040,Heart leaf (Pan ko Pat),Kg,10114,2139,700
14049050,Rudrakshya seeds,Kg,15,2,1
14049090,Other vegetable products,Kg,554132,24169,1035
15021000,Tallow .,Kg,700075,106061,19687
15043000,"Marine mammal fats, oils and their liquid  fractions.",Kg,1,0,0
15071000,Crude soya-bean oil,LTR,26018384,6001899,1129044
15079000,Soya-bean oil (excl. crude) and fractions,Kg,5,1,0
15092000,Extra virgin olive oil,Kg,20,27,6
15111000,Crude palm oil,LTR,22024750,4163668,376304
15119010,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",LTR,793540,180788,35478
15119020,Refined bleached deodorized palm olein,LTR,431030,92488,23216
15119030,Refined bleached deodorized palm stearin,LTR,26840,4617,1383
15119090,"Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi",LTR,30370,4420,1324
15121100,Crude sunflower oil,LTR,4823141,1052003,234948
15121900,Sunflower-seed and safflower oil (excl. cr ude) and fractions thereof,LTR,1010,882,264
15131100,Crude coconut (copra) oil,LTR,3720,2957,585
15131900,"Coconut (copra) oil (excl. crude) & its fr actions,refined or not but not chem. mo",LTR,4518,4282,1018
15153000,Castor oil and its fractions .,LTR,3500,952,188
15155000,Sesame oil and its fractions  .,LTR,26,4,1
15159000,"Other fixed vegetable fats and fractions,   es",LTR,49067,14060,3414
15162000,"Vegetable fats and oils and their fraction s, hydrogenated, etc.",LTR,140369,50289,15062
15171000,Margarine (excl. liquid) .,Kg,3750,993,289
15179000,"Edible preparations of fats and oils, nes",LTR,272320,61095,18292
15180000,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, d",LTR,4020,923,269
15211000,Vegetable waxes (excl. triglycerides),Kg,0,0,0
15219000,"Beeswax, other insect waxes and spermaceti",Kg,125,3,1
16010000,"Sausages and similar products, of meat,meat offal, blood or insects; food preparation",Kg,897,1926,951
16024900,"Other preparations of swine, including mix tures, nes",Kg,3202,1693,821
16041600,Prepared or preserved anchovies (excl. min ced),Kg,22,60,30
17011200,Beet sugar (Cane sugar specified in Subhead ng Note 2 to this Chapter:,Kg,15,1,0
17011310,"Sakhhar(Gud & Veli), Gudgatta of Chukandar",Kg,76520,2532,763
17011320,Khanda sugar,Kg,924,50,29
17011390,"Other Sakhhar(Gud & Veli), Gudgatta Ã Ã Ã Ã ",Kg,237,13,7
17011410,"Sakhhar (Gud & veli),Gudgatta of Sugarcane",Kg,412241,13962,3940
17011420,Khanda sugar,Kg,6658,334,195
17011490,Other Sugar,Kg,1319,86,26
17019100,"Cane or beet sugar, containing added flavo uring or colouring",Kg,13,1,1
17019910,"Cane or beet sugar, in solid form, nes",Kg,27760,1798,1047
17019920,Sugar Cube,Kg,165,13,8
17019990,"Cane or beet sugar, in solid form, nes",Kg,8040,373,218
17021100,Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry,Kg,3283,1628,16
17023010,Liquid Glucose,Kg,333300,20987,3834
17023020,Solid Glucose,Kg,20000,1575,312
17023030,Dextrose (Not Containing fructose or containing in the dry state less than 25% ),Kg,75357,10409,1068
17026000,"Other fructose and fructose syrup, contain ing >50% fructose,excluding invert suga",Kg,100,34,8
17029020,"Artificial Honey, Weather or not mixed with natural honey",Kg,275,4185,1017
17029030,Caramal,Kg,15740,1362,280
17029090,Other Sugar and sugar syrup blends containing in the dry strait 50% by,Kg,40483,3343,694
17031000,Cane molasses resulting from the extractio   or refining of sugar,Kg,225,4,2
17039000,Molasses resulting from the extraction or   efining of sugar (excl cane).,Kg,80,1,1
17041000,Chewing gum,Kg,159693,45845,36848
17049000,"Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....",Kg,173395,45270,37071
18050000,"Cocoa powder, not containing added sugar o r other sweetening matter",Kg,15000,6515,1988
18061000,"Cocoa powder, containing added sugar or ot  er sweetening matter",Kg,166,67,54
18062000,"Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg",Kg,68686,21207,17046
18063100,"Chocolate, etc, containing cocoa, in block  , slabs or bars, filled",Kg,3964,2723,2189
18063200,"Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled",Kg,4744,8369,6857
18069010,"Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.",Kg,30794,6371,6662
18069090,"Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.",Kg,155779,79754,65233
19011000,"Preparations for infant use, for retail sa le, of flour, groats, meal, starch etc.",Kg,54039,56123,10465
19012000,Mixes and doughs for preparation of bakers ' wares of 19.05.,Kg,33745,9095,2113
19019010,Malt Extract,Kg,9780,814,244
19019090,"Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa",Kg,215763,97756,21090
19021100,Uncooked pasta containing eggs not stuffed,Kg,21600,3207,2282
19021900,"Uncooked pasta, not containing eggs, not s tuffed",Kg,82436,18252,12185
19023000,"Other pasta, nes .",Kg,14658,4490,2891
19030000,"Preparation from starch in a form of flake s grains, pearls, siftings etc+",Kg,42466,4385,811
19041010,Prepared foods obtained by the swelling or  roasting of cereals.,Kg,46927,19213,4073
19041091,Corn Flakes,Kg,43721,14446,3368
19041099,Other Prepared foods obtained by the swelling or  roasting of cereals product,Kg,41730,20908,4947
19042000,Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r,Kg,4926,1269,378
19049010,Dhan ko Bhuja (Murhi),Kg,360,92,14
19049020,Beaten Rice (Chiura),Kg,68000,2866,430
19049090,Other prepared cereals in grain form (excl . maize) nes.,Kg,50390,11900,3112
19053100,Sweet biscuits,Kg,194062,50044,40666
19053200,Waffles and wafers,Kg,90458,37806,30998
19054000,"Rusks,toasted bread and similar toasted products",Kg,102506,20279,16432
19059010,Pizza,Kg,41,6,3
19059020,"Kurkure, Kurmure, Lays, Cheeseballs",Kg,1224,588,366
19059030,Papad,Kg,78480,16068,8475
19059040,Empty Cachets of a kind suitable for pharmaceuticals use,Kg,426,1242,13
19059050,Biscuits not specified elsewhere,Kg,11530,3503,2815
19059060,"Cakes, cookies and Pastry",Kg,26026,8312,6755
19059081,"Other Crisp Savoury food products, unfried",Kg,58967,7073,4386
19059089,Other prepared crisp savoury food products,Kg,2325,1105,673
19059090,Other bakers' wares nes,Kg,180000,58869,47383
20019000,"Other vegetables, fruits, etc, preserved by vinegar or acetic acid, nes",Kg,29181,2833,1401
20021000,"Tomatoes, whole or in pieces, preserved other than by vinegar, etc.",Kg,6717,903,446
20029000,"Tomatoes, preserved otherwise than by vinegar or acetic acid, nes",Kg,42474,7728,2894
20031000,Mushrooms of the genus Agaricus preserved  otherwise by vinegar or autic acid.,Kg,68076,18843,9316
20039000,Other mushrooms prepared or preserved by vinegar of autic acid nes.,Kg,0,2,1
20041010,"French fry Potato, frozen, prepared or preserved otherwise",Kg,113448,13565,7413
20049000,"Other vegetables preserved other than by vinegar, etc, frozen,(excl. prod's of 20",Kg,2748,722,399
20052090,"Other potatoes, not frozen",Kg,3931,3094,1731
20054000,"Peas, preserved other than by vinegar or a  etic acid, not frozen",Kg,2698,972,480
20055100,"Shelled beans, preserved other than by vin  gar, etc, not frozen",Kg,2822,1361,673
20057000,"Olives, preserved other than by vinegar or  acetic acid, not frozen.",Kg,9437,2719,1345
20058000,"Sweetcorn, preserved other than by vinegar  or acetic acid, not frozen",Kg,30198,3824,1891
20059900,Other - Vegetables & mixtures of veg pres e ved otherwise than by vineger or acit,Kg,25710,2935,1615
20060000,"Vegetables, fruit, nuts, fruit-peel and ot  er parts of plants, preserved by suga",Kg,23442,3802,1867
20071000,"Jams, fruit jellies, marmalades, etc, homo  enized preparations.",Kg,29048,3491,1992
20079900,"Other jams, fruit jellies, marmalades, etc , obtained by cooking",Kg,156952,27396,9973
20081100,"Ground-nuts, preserved",Kg,16023,4513,2191
20081910,Roasted or Salted Chickpeas (gram),Kg,11683,871,430
20081920,Roasted or Salted Cashewnut,Kg,597,596,294
20081930,Roasted or Salted Pistachio,Kg,259,566,280
20081940,Roasted or Salted Almond,Kg,272,513,254
20081990,"Other nut, ground nut and seeds weather or not mixed together",Kg,3090,1458,719
20082000,"Pineapples, prepared or preserved (excl t h se of 2006 and 2007)",Kg,14443,3928,1935
20083000,"Citrus fruit, prepared or preserved (excl   hose of 2006 and 2007)",Kg,52345,10776,2342
20086000,"Cherries, prepared or preserved (excl. tho se of 20.06 and 20.07)",Kg,5932,1254,617
20087000,"Peaches,incl nectarines prepared or         preserved (excl those of 2006 and 2",Kg,7078,1186,575
20088000,"Strawberries, prepared or preserved (excl.  those of 20.06 and 20.07)",Kg,5897,1266,614
20089910,Fruit Pulp,Kg,672654,88790,21334
20089990,"Other fruit, nuts and other edible parts o   plants nes.",Kg,3941,487,241
20091900,"Unfrozen orange juice, unfermented, not co  taining added spirit.",LTR,5,5,1
20093100,Juice of any other single citrus fruit of    a brix value <=20,LTR,230,51,25
20093900,Other juice of any other single citrus fru  t.,LTR,48,11,5
20097900,Other apple juice,LTR,6875,1937,803
20098990,Other juice of any other single fruits,LTR,932,1668,292
20099000,"Mixtures of juices, unfermented, not conta  ning added spirit.",LTR,204923,23842,19541
21011100,"Extracts, essences and concentrates of cof fee",Kg,20044,40542,24220
21011200,"Preparations with a basis of extract, esse nces or concentrates or with a basis of",Kg,18464,12507,7618
21012000,"Extracts, essences, concentrates and prepa rations of tea or mat",Kg,4812,1785,859
21013000,"Roasted coffee substitutes(incl. chicory)  and extracts, assences of concentrates",Kg,592,531,327
21021000,Active yeasts .,Kg,64680,19797,5930
21022000,"Inactive yeasts; other single-cell micro-o rganisms, dead",Kg,51,169,51
21023000,Prepared baking powders,Kg,10089,1646,437
21031000,Soya sauce,Kg,94719,10189,4684
21032000,Tomato ketchup and other tomato sauces,Kg,52757,10357,4693
21033000,"Mustard flour and meal, prepared mustard  .",Kg,588,375,184
21039010,"Sauces and sauce preparations; mixed condi ments and seasonings, nes",Kg,101505,45388,20997
21039020,Pickle,Kg,16675,2495,1128
21039090,Other Sauces and preparations,Kg,67003,28715,13427
21041000,Soups and broths and preparations therefor,Kg,5639,842,293
21042000,Homogenized composite food preparations,Kg,13,59,21
21050000,"Ice cream and other edible ice, whether or  not containing cocoa",Kg,77151,31203,15155
21061000,Protein concentrates and textured protein  substences,Kg,6663,6888,2557
21069010,"Dalmot,Papad,salted,Bhujia and Chamena(tit bits).",Kg,297642,78712,41333
21069020,Pan Mashsla (Surti Rahit),Kg,18612,34712,37866
21069040,Concentrate of non-alcohalic soft drinks  .,Kg,1543225,999800,361110
21069050,"Pachak,Rochak& Similar goods .",Kg,21494,16602,5756
21069060,Scented betelnut without tobacco,Kg,3,1,2
21069091,Food Supplements,Kg,31525,69847,37035
21069093,Non Dairy Cream,Kg,32700,5285,2436
21069095,Gum base,Kg,37000,13035,6017
21069099,Other Food Preparations,Kg,133841,59092,28207
22019000,Other unsweetened waters;ice and snow  .,LTR,12952,1952,1136
22029990,Other,LTR,56971,11973,8430
22041010,Sparkling Wine Containing Alcohol Strengthby Vol up to 12%,LTR,9227,6855,8649
22041020,Sparkling Wine Containing Alcohol Strengthby Vol 12-17% .,LTR,12455,7052,11388
22042110,Wine (not sparkling: grape must with by alohol upto 12% in:<=2L containers .,LTR,4050,1097,3548
22042120,Wine (not sparkling: grape must with by alohol 12-17% in:<=2L containers,LTR,5850,2077,5188
22051010,Other Wine grape must with by alcohol upto12% . .,LTR,450,218,407
22083010,Raw Material of Whiskey (alcoholic fluids   ncl spirits) <80% alcohol,LTR,33000,79971,74834
22083093,Whiskies of an alcoholic strength 30UP (39.94%),LTR,23030,76496,93610
22085092,Gin and Geneva of an alcoholic strength 25UP (42.8%),LTR,120,121,464
22085093,Gin and Geneva of an alcoholic strength 30UP (39.94%),LTR,336,541,1291
22086093,Vodka of an alcoholic strength 30UP (39.94%),LTR,336,338,1265
22087093,Liqueurs and cordials of an alcoholic strength 30UP (39.94%),LTR,136,175,518
22089096,Liquor of an alcoholic strength 70UP (17.12%),LTR,1176,1717,2937
22090000,Vinegar and substitutes for vinegar obtain ed from acetic acid,LTR,2283,453,135
23012000,"Flours, meals and pellets of fish or of crustaceans molluscs or other aquatic invertebrates",Kg,80620,5191,504
23021000,"Brans, sharps and other residues of maize",Kg,60000,2360,236
23023000,"Brans, sharps and other residues of wheat",Kg,781485,17139,1671
23024000,"Brans, sharps and other residues of other  cereals",Kg,3245402,72486,7076
23031000,Residues from manufacture of starch and similar residues,Kg,90000,11556,116
23040000,"Oil-cake and other solid residues, of soyabean",Kg,8052595,737442,60684
23050000,"Oil-cake and other solid residues, of ground-nut",Kg,113075,8741,787
23063000,Oil-cake and other solid residues of sunflower seeds,Kg,65725,2063,478
